9 12
4.56 3 180.48
3.55 1 427.38
3.27 2 175.63
4.54 1 455.65
0.05 2 499.1
2.46 2 478.22
2.35 4 10.11
0.39 2 105.42
0.29 2 178.15
1.39 4 316.23
4.38 4 293.6
2.6 3 353.65
1.7 2 72.53
3.88 3 10.99
2.41 3 201.54
1.16 4 285.76
4.97 4 281.33
0.43 1 469.65
2.3 2 454.76
2.0 1 290.92
3.21 3 64.29
4.48 0 498.82
1.49 0 399.45
3.13 0 388.99
4.6 2 310.9
4.16 4 13.16
4.39 1 319.33
4.11 1 348.49
0.54 3 260.83
1.02 2 112.8
2.35 1 393.36
4.1 4 499.59
0.99 4 295.05
1.22 0 200.68
2.53 4 87.96
3.41 2 133.13
2.59 3 323.83
4.71 1 46.81
1.81 2 163.1
2.17 3 237.4
1.48 3 265.29
1.81 1 8.56
4.61 1 196.26
2.57 4 120.3
3.93 2 282.78
1.6 1 72.5
4.92 3 404.5
2.16 4 115.09
4.04 3 377.2
2.29 4 67.01
2.9 3 164.3
3.7 3 233.94
4.32 0 202.86
4.4 2 178.22
4.38 1 300.63
3.98 2 161.36
1.26 3 175.72
2.8 0 382.04
1.5 0 349.29
3.71 1 76.24
0.73 4 258.91
3.42 0 321.0
0.62 4 442.59
2.22 1 117.19
2.7 1 233.95
4.3 1 454.82
1.59 3 429.56
2.52 4 476.75
1.08 2 325.89
4.04 3 28.3
3.59 4 333.46
0.12 3 181.42
3.83 1 464.52
3.46 2 206.77
4.81 1 28.53
4.27 1 14.27
0.22 0 233.09
3.62 0 53.17
2.06 0 470.16
2.98 1 366.68
0.7 1 365.91
3.48 4 171.34
0.85 4 288.43
4.11 1 60.42
1.42 3 390.45
1.33 2 224.34
4.8 2 352.77
2.03 4 65.78
4.58 2 49.83
2.67 1 170.38
3.19 2 92.21
0.88 3 190.72
1.54 2 117.21
2.69 4 479.98
3.4 3 26.6
1.96 2 323.08
4.61 1 474.94
2.51 1 286.36
4.82 4 453.43
1.85 1 152.8
4.23 2 284.0
3.48 1 338.2
4.85 3 304.2
3.05 4 263.08
1.43 1 485.75
2.23 4 97.2
3.54 4 98.92
2.34 4 498.66
