20 20
2.75 1 350.77
3.12 1 52.54
3.97 1 266.55
2.61 1 135.28
1.73 1 171.3
1.6 1 463.22
3.45 1 391.06
3.13 1 15.73
4.36 1 392.7
4.01 1 439.01
0.38 1 25.45
2.98 1 138.38
0.49 1 66.69
0.11 1 285.06
3.86 1 445.16
1.35 1 436.9
4.52 1 313.83
1.02 1 222.9
3.14 1 392.02
0.35 1 288.74
2.61 1 364.85
4.34 1 460.06
1.59 1 179.59
0.39 1 321.58
4.46 1 277.66
0.05 1 97.0
1.74 1 357.82
2.01 1 444.69
0.84 1 208.33
1.79 1 93.03
4.65 1 220.64
2.84 1 308.36
3.07 1 80.41
3.83 1 294.55
4.05 1 78.57
2.95 1 222.95
1.66 1 203.98
1.78 1 93.09
2.4 1 91.9
3.48 1 473.92
3.7 1 304.16
2.04 1 393.89
4.38 1 6.12
1.67 1 403.98
1.92 1 151.57
4.92 1 115.29
0.7 1 179.77
3.94 1 342.62
4.1 1 115.53
0.02 1 355.52
0.89 1 476.13
4.13 1 155.37
4.02 1 315.47
1.71 1 120.43
4.9 1 490.04
2.68 1 88.24
4.42 1 446.9
2.12 1 377.31
3.81 1 27.15
3.67 1 320.21
0.62 1 172.57
3.47 1 342.61
0.82 1 134.36
4.75 1 86.42
1.1 1 482.84
2.8 1 118.93
1.12 1 233.37
1.28 1 362.51
3.49 1 420.13
3.91 1 426.78
2.73 1 289.49
1.64 1 496.66
1.3 1 436.79
4.41 1 32.18
4.0 1 89.07
2.91 1 456.57
0.0 1 236.6
1.32 1 1.71
1.08 1 249.92
2.62 1 18.99
4.28 1 10.67
4.06 1 7.14
2.34 1 163.64
2.2 1 468.28
1.31 1 38.04
4.53 1 143.53
2.05 1 26.38
4.17 1 110.45
2.89 1 340.95
3.96 1 253.95
4.01 1 439.67
4.07 1 496.55
0.04 1 170.73
0.19 1 10.21
4.93 1 66.4
0.77 1 468.91
4.22 1 144.7
4.0 1 122.95
1.02 1 394.64
1.74 1 151.4
1.16 1 370.3
3.59 1 88.78
2.93 1 82.46
1.57 1 129.82
2.77 1 108.43
1.01 1 443.81
3.75 1 325.19
2.17 1 217.04
3.11 1 168.81
2.88 1 221.14
4.14 1 8.9
1.15 1 331.78
2.44 1 260.26
0.79 1 310.09
0.32 1 443.93
1.67 1 96.87
2.95 1 181.29
4.09 1 53.15
3.46 1 413.26
4.29 1 447.08
0.36 1 227.02
1.92 1 223.44
1.07 1 68.82
2.05 1 331.61
2.98 1 371.82
4.91 1 263.27
3.24 1 436.1
1.24 1 256.47
2.61 1 385.97
2.14 1 388.83
1.99 1 410.52
1.74 1 494.91
0.56 1 44.25
4.15 1 459.95
